iter	Passed	Remaining
0	64	64503
1	133	66490
2	194	64520
3	252	62986
4	313	62439
5	377	62470
6	447	63527
7	517	64217
8	585	64436
9	665	65859
10	748	67285
11	813	66989
12	881	66915
13	958	67482
14	1028	67557
15	1097	67476
16	1162	67193
17	1236	67464
18	1305	67425
19	1372	67272
20	1444	67329
21	1516	67397
22	1582	67228
23	1650	67115
24	1733	67623
25	1841	68980
26	1930	69557
27	2023	70233
28	2118	70916
29	2213	71576
30	2307	72116
31	2395	72460
32	2464	72228
33	2536	72056
34	2605	71842
35	2676	71683
36	2745	71444
37	2819	71371
38	2892	71282
39	2967	71208
40	3036	71026
41	3103	70785
42	3172	70599
43	3237	70348
44	3321	70488
45	3402	70561
46	3480	70571
47	3553	70479
48	3621	70287
49	3689	70108
50	3757	69913
51	3825	69735
52	3891	69528
53	3963	69438
54	4035	69340
55	4107	69234
56	4190	69323
57	4268	69328
58	4332	69094
59	4397	68898
60	4463	68708
61	4544	68751
62	4617	68678
63	4687	68549
64	4755	68404
65	4822	68243
66	4888	68076
67	4957	67945
68	5023	67776
69	5099	67755
70	5169	67645
71	5247	67637
72	5315	67494
73	5382	67354
74	5452	67248
75	5522	67139
76	5588	66995
77	5668	67005
78	5736	66876
79	5802	66731
80	5877	66682
81	5954	66660
82	6027	66590
83	6100	66524
84	6184	66573
85	6260	66533
86	6329	66420
87	6400	66327
88	6474	66274
89	6545	66177
90	6613	66066
91	6682	65952
92	6756	65897
93	6829	65821
94	6896	65702
95	6962	65565
96	7029	65437
97	7100	65353
98	7176	65315
99	7244	65202
100	7319	65146
101	7393	65089
102	7465	65016
